                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7292,                 6.7318,                  2.411,                0.02687,                0.71337,                0.38838,                0.24238,                 2.1409,                 7.3072,                 2.1472,             0.00025262,             0.00025262,             0.00025262
                      2,                 2.4459,                 3.1991,                 2.3209,                0.71077,                0.55142,                0.64976,                0.46477,                 1.9365,                 3.2762,                 2.0969,             0.00049216,             0.00049216,             0.00049216
                      3,                 2.3189,                 2.5992,                  2.264,                0.77218,                0.69624,                 0.7531,                0.57907,                  1.725,                 2.3312,                 2.0189,             0.00071478,             0.00071478,             0.00071478
                      4,                 2.3364,                 2.3622,                 2.2571,                0.82472,                0.74835,                0.79706,                 0.5301,                 2.3608,                 2.2982,                 2.2795,             0.00069287,             0.00069287,             0.00069287
                      5,                 2.2488,                 2.1065,                 2.2226,                0.83598,                0.75595,                0.80707,                0.59818,                  1.863,                 2.0377,                  2.112,             0.00066749,             0.00066749,             0.00066749
                      6,                 2.2102,                 1.9563,                 2.2123,                0.85508,                0.75459,                0.81949,                0.62999,                 1.7353,                 1.8966,                  2.014,             0.00064212,             0.00064212,             0.00064212
                      7,                 2.1968,                 1.8793,                 2.2034,                0.87156,                0.78281,                0.83163,                0.61544,                  1.938,                 1.7108,                 2.0978,             0.00061674,             0.00061674,             0.00061674
                      8,                 2.1213,                 1.7391,                 2.1824,                0.86559,                0.80064,                0.84074,                 0.6691,                 1.5875,                 1.5053,                 1.9567,             0.00059136,             0.00059136,             0.00059136
                      9,                 2.0388,                 1.6219,                 2.1509,                 0.9029,                0.80178,                  0.844,                0.66661,                 1.6133,                 1.3877,                 1.9527,             0.00056598,             0.00056598,             0.00056598
                     10,                 2.0939,                 1.5828,                 2.1766,                0.89491,                0.80117,                0.84545,                0.65866,                 1.6918,                 1.3602,                 1.9878,             0.00054061,             0.00054061,             0.00054061
                     11,                  1.998,                 1.4717,                 2.1345,                0.88475,                0.82273,                0.84733,                0.67305,                 1.6009,                 1.2719,                 1.9656,             0.00051523,             0.00051523,             0.00051523
                     12,                 1.9655,                 1.4108,                 2.1225,                0.80518,                0.81464,                0.85441,                0.54462,                 2.5987,                 1.4724,                 2.4058,             0.00048985,             0.00048985,             0.00048985
                     13,                 1.9562,                 1.3668,                 2.1138,                0.79889,                0.82638,                0.85187,                 0.5662,                 2.3995,                 1.3498,                 2.3186,             0.00046448,             0.00046448,             0.00046448
                     14,                 1.9135,                 1.3108,                  2.088,                 0.8072,                0.82673,                0.85342,                0.67367,                  1.626,                 1.1089,                 1.9452,              0.0004391,              0.0004391,              0.0004391
                     15,                 1.9273,                 1.2799,                 2.1109,                0.82469,                0.82414,                0.85718,                0.61912,                 2.0279,                 1.1738,                 2.0917,             0.00041372,             0.00041372,             0.00041372
                     16,                 1.9283,                 1.2614,                 2.1091,                0.79972,                0.84075,                0.85381,                0.67557,                 1.5951,                 1.0727,                 1.9393,             0.00038835,             0.00038835,             0.00038835
                     17,                 1.9126,                 1.2166,                 2.1038,                0.81661,                0.83045,                0.85566,                0.65719,                 1.7498,                 1.0686,                 1.9953,             0.00036297,             0.00036297,             0.00036297
                     18,                 1.8507,                 1.1796,                 2.0811,                 0.8307,                0.82351,                0.85912,                0.62292,                  2.071,                 1.1072,                 2.1283,             0.00033759,             0.00033759,             0.00033759
                     19,                 1.8513,                 1.1557,                 2.0581,                0.81982,                0.83654,                0.85729,                0.63936,                 1.9378,                 1.0622,                  2.073,             0.00031221,             0.00031221,             0.00031221
                     20,                 1.7885,                 1.1243,                 2.0429,                0.81448,                0.84448,                0.85666,                 0.7023,                 1.4269,                0.93905,                 1.8757,             0.00028684,             0.00028684,             0.00028684
                     21,                 1.7611,                 1.1204,                 2.0774,                0.81521,                0.83872,                0.85687,                0.69706,                 1.4723,                0.93343,                 1.8954,             0.00026146,             0.00026146,             0.00026146
                     22,                 1.6846,                 1.0329,                  2.037,                0.81838,                0.84493,                0.85931,                0.69264,                  1.513,                0.91535,                 1.9092,             0.00023608,             0.00023608,             0.00023608
                     23,                 1.6119,                0.98669,                 1.9983,                0.82324,                0.84525,                 0.8584,                0.70111,                 1.4737,                0.89487,                 1.8888,             0.00021071,             0.00021071,             0.00021071
                     24,                 1.5909,                0.96021,                 1.9798,                0.83171,                0.83081,                 0.8606,                0.64765,                 1.8705,                0.96319,                   2.04,             0.00018533,             0.00018533,             0.00018533
                     25,                 1.5873,                0.93961,                 1.9756,                0.82901,                0.85042,                0.86117,                0.70202,                 1.4744,                0.85816,                 1.8884,             0.00015995,             0.00015995,             0.00015995
                     26,                 1.5584,                0.92276,                 1.9664,                0.83417,                0.84406,                0.85977,                0.68378,                 1.6446,                0.88671,                 1.9671,             0.00013457,             0.00013457,             0.00013457
                     27,                 1.5273,                0.89174,                 1.9609,                0.83589,                0.83623,                0.86015,                0.72085,                 1.3582,                0.81948,                 1.8498,              0.0001092,              0.0001092,              0.0001092
                     28,                 1.5035,                0.87894,                 1.9387,                0.83846,                0.84728,                0.86217,                0.71204,                 1.4202,                0.82024,                   1.86,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     29,                  1.495,                0.86701,                 1.9401,                0.83247,                0.85326,                0.86041,                0.70275,                 1.4842,                0.82161,                 1.8896,             5.8444e-05,             5.8444e-05,             5.8444e-05
